company_name,website,primary_category,subcategory,hq_country,status
Zoho,zoho.com,Low-Code/No-Code,App Builder,India,active
Darwinbox,darwinbox.com,HR Tech,HR Platform,India,active
Wingify,wingify.com,Testing & QA,A/B Testing,India,active
LeadSquared,leadsquared.com,CRM,Marketing Automation,India,active
Facilio,facilio.com,Operations,Facilities Management,India,active
Vymo,getvymo.com,CRM,Sales Enablement,India,active
Hippo Video,hippovideo.io,Developer Tools,Video API,India,active
HighRadius,highradius.com,FinTech,Finance Automation,India,active
Druva,druva.com,Data Management,Cloud Backup,India,active
Esper,esper.io,DevOps,Device Management,India,active
Accel Data,acceldata.io,Data,Data Observability,India,active
Clueso,clueso.io,Developer Tools,Documentation AI,India,active
Capillary Technologies,capillarytech.com,CRM,Loyalty Platform,India,active
Netcore Cloud,netcorecloud.com,Marketing,Email Marketing API,India,active
Uniphore,uniphore.com,AI/ML,Conversational AI,India,active
Zenoti,zenoti.com,SaaS,Vertical SaaS,India,active
Kissflow,kissflow.com,Low-Code/No-Code,Process Platform,India,active
Zluri,zluri.com,IT Operations,SaaS Management,India,active
Skit.ai,skit.ai,AI/ML,Voice AI,India,active
Yellow.ai,yellow.ai,AI/ML,Conversational AI,India,active
Hiver,hiverhq.com,Collaboration,Email Collaboration,India,active
Exotel,exotel.com,Communication,Cloud Telephony,India,active
Kaleyra,kaleyra.com,Communication,CPaaS,India,active
Route Mobile,routemobile.com,Communication,CPaaS,India,active
Gupshup,gupshup.io,Communication,Messaging API,India,active
Signzy,signzy.com,FinTech,Digital KYC,India,active
Setu,setu.co,FinTech,Payment APIs,India,active
Cashfree Payments,cashfree.com,FinTech,Payment Gateway,India,active
Open Financial,open.money,FinTech,Banking APIs,India,active
Decentro,decentro.tech,FinTech,Banking APIs,India,active
Zoop,zoop.one,FinTech,Verification API,India,active
Hyperface,hyperface.co,FinTech,Card Issuing API,India,active
Perfios,perfios.com,FinTech,Data Analytics,India,active
Stellapps,stellapps.com,IoT,IoT Platform,India,active
Testsigma,testsigma.com,Testing & QA,AI Test Automation,India,active
Quash,quashbugs.com,Testing & QA,Bug Reporting SDK,India,active
Fogwing,fogwing.io,IoT,Industrial IoT,India,active
Beagle Security,beaglesecurity.com,Security,Penetration Testing,India,active
Prophaze,prophaze.com,Security,API Security,India,active
Loft Labs,loft.sh,DevOps,Kubernetes Virtualization,Germany,active
Steadybit,steadybit.com,Testing & QA,Chaos Engineering,Germany,active
Hetzner,hetzner.com,Cloud,Cloud Hosting,Germany,active
Deepl,deepl.com,AI/ML,Translation API,Germany,active
WunderGraph,wundergraph.com,Developer Tools,GraphQL API Gateway,Germany,active
Photon Engine,photonengine.com,Game Development,Multiplayer Infrastructure,Germany,active
SUSE Edge,suse.com,Edge Computing,Edge Kubernetes,Germany,active
RIOT OS,riot-os.org,IoT,IoT Operating System,Germany,active
SonarSource,sonarsource.com,Security,Code Quality,Switzerland,active
Aleph Alpha,aleph-alpha.com,AI/ML,European LLM,Germany,active
Dune Analytics,dune.com,Web3,Blockchain Analytics,Germany,active
Gelato Network,gelato.network,Web3,Web3 Automation,Germany,active
Scaleway,scaleway.com,Cloud,Cloud Infrastructure,France,active
OVHcloud,ovhcloud.com,Cloud,Cloud Hosting,France,active
Clever Cloud,clever-cloud.com,Cloud,PaaS,France,active
Brainboard,brainboard.co,DevOps,Cloud Infrastructure Designer,France,active
Marblism,marblism.com,Low-Code/No-Code,AI App Generator,France,active
Argos CI,argos-ci.com,Testing & QA,Visual Testing,France,active
Starton,starton.io,Web3,Web3 API Platform,France,active
Remix IDE,remix.ethereum.org,Web3,Smart Contract IDE,France,active
ModernMT,modernmt.com,AI/ML,Machine Translation,Italy,active
Liveblocks,liveblocks.io,Developer Tools,Real-Time Collaboration API,UK,active
Heroic Labs,heroiclabs.com,Game Development,Game Backend,UK,active
Nakama,heroiclabs.com/nakama,Game Development,Multiplayer Server,UK,active
Balena,balena.io,IoT,IoT Fleet Management,UK,active
Node-RED,nodered.org,IoT,Flow-Based Programming,UK,active
Biconomy,biconomy.io,Web3,Account Abstraction,UK,active
Pimlico,pimlico.io,Web3,ERC-4337 Infrastructure,UK,active
Layercode,layercode.com,AI/ML,Voice AI Infrastructure,UK,active
Stepsize,stepsize.com,Developer Tools,Technical Debt Tracking,UK,active
Bloop AI,bloop.ai,Developer Tools,Code Search,UK,active
Count,count.co,Data,Collaborative BI,UK,active
DeltaDNA,deltadna.com,Game Development,Player Analytics,UK,acquired
Debricked,debricked.com,Security,SCA Tool,Sweden,acquired
Firetail,firetail.io,Security,API Security,Ireland,active
Factorial HR,factorialhr.com,HR Tech,HR Platform,Spain,active
Tricentis,tricentis.com,Testing & QA,Enterprise Test Automation,Austria,active
Proxmox,proxmox.com,DevOps,Virtualization,Austria,active
bunny.net,bunny.net,CDN,Content Delivery Network,Slovenia,active
Netdata,netdata.cloud,Monitoring,Infrastructure Monitoring,Greece,active
Polkadot,polkadot.network,Web3,Blockchain Protocol,Switzerland,active
ZKsync,zksync.io,Web3,ZK Rollup Platform,Switzerland,active
Glasnostic,glasnostic.com,Observability,Traffic Control,Switzerland,active
Wopee.io,wopee.io,Testing & QA,AI Testing,Czech Republic,active
Orama,oramasearch.com,Search,Full-Text Search Engine,Italy,active
Venly,venly.io,Web3,Blockchain Wallet API,Belgium,active
Openfort,openfort.io,Web3,Gaming Wallet Infrastructure,Spain,active
Brainztorm,brainztorm.com,Game Development,Game Backend,Spain,active
